dataset,target,model,layer,RSA,CKA
EEG2,early_0_200ms,ResNet,features/layer1-0,-0.04858001703478915,0.15174260609606244
EEG2,early_0_200ms,ResNet,features/layer2-0,0.05520655363829709,0.18101771677670236
EEG2,early_0_200ms,ResNet,features/layer3-0,0.15356004577071425,0.20515883682763741
EEG2,early_0_200ms,ResNet,features/layer3-10,0.06240309451144786,0.14195307410765776
EEG2,early_0_200ms,ResNet,features/layer3-15,0.017641607560677557,0.13520409097920633
EEG2,early_0_200ms,ResNet,features/layer3-20,0.023346274197607424,0.12874679960191265
EEG2,early_0_200ms,ResNet,features/layer3-25,0.013987384609919749,0.1268404645105092
EEG2,early_0_200ms,ResNet,features/layer3-30,0.025029553693125116,0.12792217784626042
EEG2,early_0_200ms,ResNet,features/layer3-5,0.06349784829955277,0.17088074899756972
EEG2,early_0_200ms,ResNet,features/layer4-1,0.11846641763356842,0.11444705114424818
EEG2,early_0_200ms,Transformer,features/language_model-layers-11,0.07355071234687352,0.07358680523617951
EEG2,early_0_200ms,Transformer,features/language_model-layers-16,0.07508467025689099,0.07060498731322498
EEG2,early_0_200ms,Transformer,features/language_model-layers-3,0.0795672066300274,0.07569810347894015
EEG2,early_0_200ms,Transformer,features/language_model-layers-8,0.06639870406101543,0.073514574931473
EEG2,early_0_200ms,Transformer,features/visual-blocks-10,0.05453625158733129,0.023039158461655673
EEG2,early_0_200ms,Transformer,features/visual-blocks-14,0.05047104019478388,0.021595588745522393
EEG2,early_0_200ms,Transformer,features/visual-blocks-18,0.036535562607849695,0.026139573431112582
EEG2,early_0_200ms,Transformer,features/visual-blocks-2,0.006374087936722112,0.06236288843294353
EEG2,early_0_200ms,Transformer,features/visual-blocks-22,0.0472327648036313,0.03946744568547529
EEG2,early_0_200ms,Transformer,features/visual-blocks-6,0.0484768652723847,0.06448686337235995
EEG2,middle_200_500ms,ResNet,features/layer1-0,0.046242814245748574,0.0531339762130668
EEG2,middle_200_500ms,ResNet,features/layer2-0,0.07362663284848905,0.06233747997340237
EEG2,middle_200_500ms,ResNet,features/layer3-0,0.09751402645135593,0.07977197225491987
EEG2,middle_200_500ms,ResNet,features/layer3-10,0.0692941677215341,0.07405550159076695
EEG2,middle_200_500ms,ResNet,features/layer3-15,0.06870284276486933,0.08511813025296236
EEG2,middle_200_500ms,ResNet,features/layer3-20,0.0697320030372903,0.07964455378217741
